Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2011,Net Change
O'ahu,1,Unclassified,0,0,0,0,0
O'ahu,2,Impervious Surface,83.19831199,-0.529662604,3.585701272,86.25435066,3.056038668
O'ahu,3,N/A,0,0,0,0,0
O'ahu,4,N/A,0,0,0,0,0
O'ahu,5,Developed Open Space,35.75056336,-1.410844969,1.501835659,35.84155405,0.09099069
O'ahu,6,Cultivated,38.65587381,-9.446281,1.937498568,31.14709138,-7.508782432
O'ahu,7,Pasture/Hay,0.152069253,-0.00098521,0.029832065,0.180916109,0.028846855
O'ahu,8,Grassland,44.34520717,-3.916889682,9.241590866,49.66990835,5.324701184
O'ahu,9,Deciduous Forest,0,0,0,0,0
O'ahu,10,Evergreen Forest,285.8735629,-1.72035209,1.31292445,285.4661353,-0.40742764
O'ahu,11,Mixed Forest,0,0,0,0,0
O'ahu,12,Scrub/Shrub,94.34515415,-4.332966264,2.285217599,92.29740548,-2.047748665
O'ahu,13,Palustrine Forested Wetland,0.611532875,-0.008982534,0.011878117,0.614428458,0.002895583
O'ahu,14,Palustrine Scrub/Shrub Wetland,0.41568739,-0.022283979,0.010034462,0.403437874,-0.012249517
O'ahu,15,Palustrine Emergent Wetland,2.360102443,-0.092754283,0.067803788,2.335151948,-0.024950495
O'ahu,16,Estuarine Forested Wetland,0.714748619,-0.023342579,0.021679065,0.713085104,-0.001663514
O'ahu,17,Estuarine Scrub/Shrub Wetland,0.274386503,-0.012861103,0.011566764,0.273092164,-0.001294339
O'ahu,18,Estuarine Emergent Wetland,0.241612152,-0.007294556,0.02436782,0.258685416,0.017073264
O'ahu,19,Unconsolidated Shore,0.708917422,-0.008335365,0.098263007,0.798845064,0.089927642
O'ahu,20,Barren Land,8.752475318,-1.667913573,2.978598506,10.06316025,1.310684933
O'ahu,21,Open Water,79.24428901,-0.16704978,0.243186709,79.32042594,0.076136929
O'ahu,22,Palustrine Aquatic Bed,0.06210158,0,0.006814183,0.068915763,0.006814183
O'ahu,23,Estuarine Aquatic Bed,0,0,0,0,0
O'ahu,24,Tundra,0,0,0,0,0
O'ahu,25,Perennial Ice/Snow,0,0,6.67E-06,6.67E-06,0.00000667